End
1, 0, 0, 0, 0, 0, 0, 0, 0, 
2, 0, 0, 0, 0, 0, 0, 0, 0, 
3, 0, 0, 0, 0, 0, 0, 0, 0, 
4, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 0, 0, 0, 0, 0, 0, 0, 0, 
6, 0, 0, 0, 0, 0, 0, 0, 0, 
7, 0, 0, 0, 0, 0, 0, 0, 0, 
8, 0, 0, 0, 0, 0, 0, 0, 0, 
9, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 0, 0, 0, 0, 0, 0, 0, 0, 
11, 0, 0, 0, 0, 0, 0, 0, 0, 
12, 0, 0, 0, 0, 0, 0, 0, 0, 
13, 195, 0, 0, 0, 0, 73, 20, 20, 
14, 148, 0, 0, 0, 0, 62, 20, 20, 
15, 93, 0, 0, 0, 4, 54, 20, 20, 
16, 172, 60, 0, 0, 68, 80, 0, 0, 
17, 184, 71, 0, 0, 114, 84, 0, 0, 
18, 81, 63, 0, 0, 148, 82, 0, 0, 
19, 0, 43, 132, 0, 143, 69, 0, 0, 
20, 0, 62, 281, 0, 115, 90, 20, 20, 
21, 0, 84, 405, 0, 87, 103, 20, 20, 
22, 0, 106, 506, 0, 70, 117, 20, 20, 
23, 0, 118, 595, 0, 50, 127, 20, 20, 
24, 0, 130, 695, 0, 20, 148, 20, 20, 
25, 0, 36, 802, 0, 0, 187, 20, 20, 
26, 0, 0, 827, 0, 0, 180, 20, 20, 
27, 0, 0, 802, 0, 0, 150, 20, 20, 
28, 0, 0, 712, 0, 0, 122, 20, 20, 
29, 0, 0, 556, 0, 0, 88, 20, 20, 
30, 30, 0, 360, 59, 0, 56, 20, 20, 
31, 82, 0, 108, 71, 0, 42, 20, 20, 
32, 60, 13, 0, 53, 0, 48, 20, 20, 
33, 0, 67, 0, 15, 0, 65, 20, 20, 
34, 0, 112, 0, 0, 0, 87, 20, 20, 
35, 0, 156, 0, 0, 0, 111, 20, 20, 
36, 0, 154, 0, 0, 0, 150, 20, 0, 
37, 97, 69, 0, 0, 0, 177, 0, 0, 
38, 180, 0, 0, 0, 53, 183, 0, 0, 
39, 136, 0, 0, 0, 140, 144, 0, 0, 
40, 0, 0, 0, 0, 176, 97, 0, 0, 
41, 0, 58, 349, 0, 102, 82, 20, 20, 
42, 0, 58, 349, 0, 102, 82, 20, 20, 
